Feature,Importance
osrm_distance,0.5518193
osrm_time,0.2129887
time_difference,0.18580759
cutoff_factor,0.026990982
actual_distance_to_destination,0.017517293
factor,0.001435495
distance_per_min,0.0013538663
planned_duration,0.0007413238
actual_vs_osrm_time,0.00051281496
is_heavy_delay,0.00018533002
start_scan_to_end_scan,0.00014536065
start_to_cutoff_mins,0.00010311917
destination_center,4.1677482e-05
is_cutoff,3.1796306e-05
center_pair_count,2.9527764e-05
cutoff_hour,2.3097902e-05
od_start_time_hour,2.244858e-05
destination_name,1.7291015e-05
cutoff_timestamp_weekday,1.5922948e-05
cutoff_timestamp_hour,1.5226859e-05
cutoff_timestamp_day,1.462927e-05
od_end_hour,1.4291454e-05
trip_creation_hour,1.3226385e-05
od_end_time_hour,1.13125525e-05
route_type,1.08618115e-05
od_start_hour,9.74845e-06
creation_to_start_mins,9.467368e-06
source_center,8.151778e-06
segment_actual_vs_osrm_time,7.6309225e-06
source_name,7.3409187e-06
segment_time_diff,7.2366456e-06
od_end_time_day,6.8914815e-06
segment_actual_time,6.3157986e-06
od_end_time_month,6.2837335e-06
segment_osrm_time,6.174924e-06
od_start_time_weekday,6.0983e-06
od_start_time_day,6.027406e-06
od_end_time_weekday,5.845362e-06
segment_osrm_distance,5.7549973e-06
segment_factor,5.754986e-06
trip_creation_time_hour,5.3982017e-06
trip_creation_day,4.93963e-06
cutoff_timestamp_month,4.865051e-06
trip_creation_time_day,3.874867e-06
trip_creation_time_weekday,3.384874e-06
trip_creation_weekday,3.3150761e-06
data,3.1673108e-06
od_start_time_month,2.2754273e-06
delay_category,1.5559597e-06
trip_creation_time_month,9.304125e-08
